,token,frequency,z-score,freq_ratio
628,supporter,2149,0.21145918257979862,0.000675909655191719
437,remember,2078,0.21145918257979862,0.0006535785311718903
579,mass,2230,0.21145918257979862,0.0007013860079467349
710,censor,2346,0.2099401026152366,0.0007378706612749059
251,guy,2594,0.2099401026152366,0.0008158723339075473
207,cast,2381,0.16719470597892072,0.000748878961848061
564,hope,3497,0.16719470597892072,0.0010998864886949471
224,lead,2684,0.1631722454522241,0.0008441793925242317
677,attempt,2550,0.15705286159399717,0.0008020333274727238
364,box,1708,0.15705286159399717,0.0005372050679699656
191,great,6352,0.15127450686798824,0.001997849292590879
566,design,862,0.14803995796740543,0.0002711187169731325
948,fraudulently,873,0.14803995796740543,0.00027457846858183836
624,different,1216,0.14803995796740543,0.0003824598141987577
1007,navarro,473,0.14803995796740543,0.0001487693191743523
719,seek,760,0.14803995796740543,0.00023903738387422355
1009,epstein,765,0.14550738622353135,0.00024060999824181714
946,plot,420,0.14550738622353135,0.00013209960687786038
112,room,723,0.14550738622353135,0.0002274000375540311
613,clinton,1095,0.14550738622353135,0.00034440254650299314
520,dnc,699,0.14550738622353135,0.00021985148858958193
949,bus,357,0.14550738622353135,0.00011228466584618133
748,newsmax,911,0.14550738622353135,0.00028653033777554956
642,incorrectly,274,0.14550738622353135,8.617926734412797e-05
451,imagine,952,0.14550738622353135,0.0002994257755898169
778,ruby,425,0.14550738622353135,0.00013367222124545397
714,kyle,316,0.14550738622353135,9.938922803191401e-05
964,deliberate,300,0.14550738622353135,9.435686205561456e-05
444,facebook,961,0.14550738622353135,0.00030225648145148533
953,whose,299,0.14550738622353135,9.404233918209585e-05
230,colleague,248,0.14550738622353135,7.800167263264137e-05
844,tamper,589,0.14550738622353135,0.00018525397250252325
857,chance,1094,0.14550738622353135,0.00034408802362947445
842,kill,1134,0.14550738622353135,0.00035666893857022304
880,sos,926,0.14550738622353135,0.0002912481808783303
858,family,1097,0.14550738622353135,0.0003450315922500306
360,hey,1270,0.14550738622353135,0.00039944404936876834
553,government,3271,0.11985095439318925,0.0010288043192797174
114,count,10684,0.11269036656998241,0.0033603623806739533
679,add,1869,0.1025814443997248,0.0005878432506064787
138,patriot,5630,0.08582602648292625,0.0017707637779103666
924,prosecutor,584,0.08179049158740827,0.0001836813581349297
839,alito,819,0.08179049158740827,0.0002575942334118278
26,fire,1434,0.08179049158740827,0.0004510258006258376
915,duly,368,0.053682494245822485,0.0001157444174548872
519,code,440,0.053682494245822485,0.0001383900643482347
555,popular,949,0.053682494245822485,0.0002984822069692607
993,destruction,473,0.053682494245822485,0.0001487693191743523
907,deeply,450,0.053682494245822485,0.00014153529308342185
